document_id,title,categories,category_slugs,author,tags,tag_slugs,download_url,source_page
7739,"“All Tea, No Shade”: Women Band Director Real Talk",Motivation/Inspiration,motivation-inspiration,,2021 TBA Handout,2021-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/11/2021_Pascasio.pdf,https://texasbandmasters.org/document-library/
7991,“Be Our Guest” Creating Recruiting/Retention Events and Activities,Recruiting/Retention,recruiting-retention,,2023 TBA Handout,2023-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/10/2023_dixon.pdf,https://texasbandmasters.org/document-library/
9831,“E” Band – Getting The Most Out of Your Web Page,Technology,technology,,2006 TBA Handout,2006-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/11/2006-doherty1.pdf,https://texasbandmasters.org/document-library/
8696,“Flip” Your Band Hall and Enhance Your Teaching with Meaningful Technology!,Technology,technology,,2016 TBA Handout,2016-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/11/White-Flip-Your-Bandhall.pdf,https://texasbandmasters.org/document-library/
8043,“Have to” or “Get to” Choosing the Right Perspective,Motivation/Inspiration,motivation-inspiration,,2023 BMR September,2023-bmr-september,https://texasbandmasters.org/wp-content/uploads/2023/10/2023_9_little.pdf,https://texasbandmasters.org/document-library/
8140,"“I Shoulda, Woulda, or Coulda?” Prepare for Your TRS Retirement Now",Health/Wellness,health-wellness,,2022 BMR April,2022-bmr-april,https://texasbandmasters.org/wp-content/uploads/2023/10/2022_4_munsell.pdf,https://texasbandmasters.org/document-library/
8494,"“If You Build It, They Will Come”",Motivation/Inspiration,motivation-inspiration,,2017 BMR December,2017-bmr-december,https://texasbandmasters.org/wp-content/uploads/2023/11/2017-12-sandoval.pdf,https://texasbandmasters.org/document-library/
11751,"“Sharing Your Gift!? (Inspire, it’s soo easy)",Motivation/Inspiration,motivation-inspiration,"Ronnie Rios , Secreatry",2025 BMR April,2025-bmr-april,https://texasbandmasters.org/wp-content/uploads/2026/01/2025_4_Rios.pdf,https://texasbandmasters.org/document-library/
8480,“Simple” Steps to a Fantastic Band,Pedagogy,pedagogy,,2017 BMR April,2017-bmr-april,https://texasbandmasters.org/wp-content/uploads/2023/11/2017-04-sandoval.pdf,https://texasbandmasters.org/document-library/
10664,“Stingers and Ringers” March Interpretation,Conducting/Literature/Artistry; Featured Clinician,conducting-literature-artistry; featured-clinician,,2024 TBA Handout,2024-tba-handout,https://texasbandmasters.org/wp-content/uploads/2024/08/Stingers-and-Ringers-March-Interpretation.pdf,https://texasbandmasters.org/document-library/
7992,"“Tiny Instrument”, Big Impact: Using Mouthpieces and Small Instruments to Address Fundamental Skills",Beginner Band,beginner-band,,2023 TBA Handout,2023-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/10/2023_williams.pdf,https://texasbandmasters.org/document-library/
9741,“To Heck with the Judges?Let’s Talk about the Music”,Conducting/Literature/Artistry,conducting-literature-artistry,,2007 TBA Handout,2007-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/11/2007-crider1.pdf,https://texasbandmasters.org/document-library/
9079,“Tune Up!” Getting Your Membranes Ready for the Stage,Pedagogy-Percussion,pedagogy-percussion-2,,2013 BMR April,2013-bmr-april,https://texasbandmasters.org/wp-content/uploads/2023/11/2013-04-ulibarri.pdf,https://texasbandmasters.org/document-library/
9438,"“Yes, and…”",Motivation/Inspiration,motivation-inspiration,,2010 BMR December,2010-bmr-december,https://texasbandmasters.org/wp-content/uploads/2023/11/2010-12-gilmore.pdf,https://texasbandmasters.org/document-library/
8070,10 Out Of 10: Strategies For Developing Purposeful Practice Skills In Your Band Students,Program Management,program-management,,2022 TBA Handout,2022-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/10/2022_hagy.pdf,https://texasbandmasters.org/document-library/
9256,26 Tips For Quick And Easy Instrument Repair,Program Management,program-management,,2012 TBA Handout,2012-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/11/2012_frushour.pdf,https://texasbandmasters.org/document-library/
9470,"8:2 A Ratio, a Concept, a Pathway to Improving Beginning Band Instruction",Beginner Band,beginner-band,,2010 BMR September,2010-bmr-september,https://texasbandmasters.org/wp-content/uploads/2023/11/2010-09-teweleit.pdf,https://texasbandmasters.org/document-library/
11780,A “Music First” Fundamental Approach to Marching Band,Marching Band,marching-band,"Kyle Ayoub , Ryan Dutton , Rylon Guidry",2025 TBA Handout,2025-tba-handout,https://texasbandmasters.org/wp-content/uploads/2026/01/A-Music-First-Fundamental-Approach-to-Marching-Band-Clinicians-Rylon-Guidry-Kyle-Ayoub-Ryan-Dutton.pdf,https://texasbandmasters.org/document-library/
9450,A 21st Century Booster Club Can Make a Difference!,Boosters,boosters,,2010 BMR June,2010-bmr-june,https://texasbandmasters.org/wp-content/uploads/2023/11/2010-06-vandewalker.pdf,https://texasbandmasters.org/document-library/
8525,A Band Director’s Approach to Mariachi,Mariachi,mariachi,,2017 TBA Handout,2017-tba-handout,https://texasbandmasters.org/wp-content/uploads/2023/11/Ocampo-Marta-A-Band-Directors-Approach-to-Mariachi.pdf,https://texasbandmasters.org/document-library/
8248,A Band Director’s Toolbox,Pedagogy,pedagogy,,2019 BMR April,2019-bmr-april,https://texasbandmasters.org/wp-content/uploads/2023/11/2019_04_sandoval.pdf,https://texasbandmasters.org/document-library/
12052,A Basic Festival/Contest Preparation Check List,Program Management,program-management,Don Sumwalt,2004 BMR December,2004-bmr-december,https://texasbandmasters.org/wp-content/uploads/2023/11/2004-12-sumwalt1.pdf,https://texasbandmasters.org/document-library/
